package,resolved,latest_stable_in_refreshed_index,parents_and_requirements,reason
"allocator-api2","0.2.21","0.4.0","hashbrown 0.16.1 (^0.2.9)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"atoi","2.0.0","3.1.0","sqlx-postgres 0.9.0 (^2.0); sqlx-sqlite 0.9.0 (^2.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"base16ct","0.2.0","1.0.0","elliptic-curve 0.13.8 (^0.2); sec1 0.7.3 (^0.2)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"base64","0.22.1","0.23.1","hyper-util 0.1.20 (^0.22); jsonwebtoken 11.0.0 (^0.22); pem 3.0.6 (^0.22.0); reqwest 0.13.4 (^0.22); sqlx-core 0.9.0 (^0.22.1); sqlx-postgres 0.9.0 (^0.22.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"block-buffer","0.10.4","0.12.1","digest 0.10.7 (^0.10)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"const-oid","0.9.6","0.10.2","der 0.7.10 (^0.9.2); digest 0.10.7 (^0.9); rsa 0.9.10 (^0.9)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"cpufeatures","0.2.17","0.3.1","curve25519-dalek 4.1.3 (^0.2.6); sha2 0.10.9 (^0.2)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"crypto-bigint","0.5.5","0.7.5","elliptic-curve 0.13.8 (^0.5)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"crypto-common","0.1.6","0.2.2","digest 0.10.7 (^0.1.3)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"curve25519-dalek","4.1.3","5.0.0","ed25519-dalek 2.2.0 (^4)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"der","0.7.10","0.8.1","ecdsa 0.16.9 (^0.7); pkcs1 0.7.5 (^0.7); pkcs8 0.10.2 (^0.7); sec1 0.7.3 (^0.7); spki 0.7.3 (^0.7.2)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"digest","0.10.7","0.11.3","curve25519-dalek 4.1.3 (^0.10); ecdsa 0.16.9 (^0.10.7); elliptic-curve 0.13.8 (^0.10); hmac 0.12.1 (^0.10.3 / ^0.10); rsa 0.9.10 (^0.10.5); sha2 0.10.9 (^0.10.7); signature 2.2.0 (^0.10.6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"ecdsa","0.16.9","0.17.0","p256 0.13.2 (^0.16); p384 0.13.1 (^0.16)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"ed25519","2.2.3","3.0.0","ed25519-dalek 2.2.0 (>=2.2, <2.3)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"ed25519-dalek","2.2.0","3.0.0","jsonwebtoken 11.0.0 (^2.1.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"elliptic-curve","0.13.8","0.14.1","ecdsa 0.16.9 (^0.13.6 / ^0.13); p256 0.13.2 (^0.13.1); p384 0.13.1 (^0.13); primeorder 0.13.6 (^0.13.7)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"ff","0.13.1","0.14.0","elliptic-curve 0.13.8 (^0.13); group 0.13.0 (^0.13)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"fiat-crypto","0.2.9","0.3.0","curve25519-dalek 4.1.3 (^0.2.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"generic-array","0.14.9","1.4.5","block-buffer 0.10.4 (^0.14); crypto-bigint 0.5.5 (^0.14); crypto-common 0.1.6 (^0.14.4); elliptic-curve 0.13.8 (^0.14.6); sec1 0.7.3 (^0.14.7); sqlx-mysql 0.9.0 (^0.14.4)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"getrandom","0.2.17","0.4.3","jsonwebtoken 11.0.0 (^0.2); rand_core 0.6.4 (^0.2); ring 0.17.14 (^0.2.10)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"group","0.13.0","0.14.0","elliptic-curve 0.13.8 (^0.13)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"hashbrown","0.16.1","0.17.1","hashlink 0.11.1 (^0.16); sqlx-core 0.9.0 (^0.16.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"hashlink","0.11.1","0.12.1","sqlx-core 0.9.0 (^0.11.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"hkdf","0.12.4","0.13.0","elliptic-curve 0.13.8 (^0.12.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"hmac","0.12.1","0.13.0","hkdf 0.12.4 (^0.12.1); jsonwebtoken 11.0.0 (^0.12.1); rfc6979 0.4.0 (^0.12)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"libsqlite3-sys","0.37.0","0.38.2","sqlx-sqlite 0.9.0 (>=0.30.1, <0.38.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"matchit","0.8.4","0.9.2","axum 0.8.9 (=0.8.4)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"num-bigint","0.4.8","0.5.1","simple_asn1 0.6.4 (^0.4)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"num-bigint-dig","0.8.6","0.9.1","rsa 0.9.10 (^0.8.6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"p256","0.13.2","0.14.0","jsonwebtoken 11.0.0 (^0.13.2)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"p384","0.13.1","0.14.0","jsonwebtoken 11.0.0 (^0.13.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
