scope,package,kind,resolved,resolvable,latest_stable,reason
"desktop","_fe_analyzer_shared","transitive","103.0.0","103.0.0","105.0.0","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"desktop","analysis_server_plugin","transitive","0.3.18","0.3.18","0.3.20","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"desktop","analyzer","transitive","13.3.0","13.3.0","14.1.0","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"desktop","analyzer_plugin","transitive","0.14.12","0.14.12","0.14.14","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"desktop","cli_util","transitive","0.4.2","0.4.2","0.6.0","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"desktop","code_assets","transitive","1.0.0","1.0.0","2.0.0","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"desktop","cryptography_plus","transitive","2.7.1","2.7.1","3.0.0","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"desktop","desktop_updater","direct","2.7.0","3.1.6","3.1.6","Version 3 excluded: coordinated installer/release migration"
"desktop","ghostty_vte_flutter","direct","0.1.5","0.1.5","0.1.3","Pinned fork preserved"
"desktop","hooks","transitive","1.0.3","1.0.3","2.2.0","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"desktop","material_color_utilities","transitive","0.13.0","0.13.0","0.13.1","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"desktop","native_toolchain_c","transitive","0.18.0","0.18.0","0.19.4","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"desktop","native_toolchain_rust","transitive","1.0.4","1.0.4","1.0.6","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"desktop","package_config","transitive","2.2.0","2.2.0","3.0.0","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"desktop","path_provider_foundation","transitive","2.5.1","2.5.1","2.6.0","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"desktop","qr","transitive","3.0.2","3.0.2","4.0.0","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"desktop","record_use","transitive","0.6.0","0.6.0","1.1.1","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"desktop","source_gen","transitive","4.2.4","4.2.4","4.3.0","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"desktop","test","transitive","1.31.1","1.31.1","1.31.2","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"desktop","test_api","transitive","0.7.12","0.7.12","0.7.13","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"desktop","test_core","transitive","0.6.18","0.6.18","0.6.19","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"desktop","xterm2","direct","5.3.0","5.3.0","5.2.0","Pinned fork preserved"
"mobile","_fe_analyzer_shared","transitive","103.0.0","103.0.0","105.0.0","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"mobile","analysis_server_plugin","transitive","0.3.18","0.3.18","0.3.20","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"mobile","analyzer","transitive","13.3.0","13.3.0","14.1.0","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"mobile","analyzer_plugin","transitive","0.14.12","0.14.12","0.14.14","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"mobile","cli_util","transitive","0.4.2","0.4.2","0.6.0","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"mobile","jni","transitive","0.14.2","0.14.2","1.0.3","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"mobile","material_color_utilities","transitive","0.13.0","0.13.0","0.13.1","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"mobile","package_config","transitive","2.2.0","2.2.0","3.0.0","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"mobile","path_provider_android","transitive","2.2.23","2.2.23","2.3.1","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"mobile","source_gen","transitive","4.2.4","4.2.4","4.3.0","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"mobile","test","transitive","1.31.1","1.31.1","1.31.2","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"mobile","test_api","transitive","0.7.12","0.7.12","0.7.13","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
"mobile","test_core","transitive","0.6.18","0.6.18","0.6.19","pub outdated reports current as maximal jointly resolvable with selected stable SDK, direct families and preserved forks"
