package,resolved,latest_stable_in_refreshed_index,parents_and_requirements,reason
"addr2line","0.25.1","0.27.1","backtrace 0.3.76 (^0.25.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"aes","0.8.4","0.9.3","dbus-secret-service 4.1.0 (^0.8)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"allocator-api2","0.2.21","0.4.0","hashbrown 0.16.1 (^0.2.9); hashbrown 0.17.1 (^0.2.9)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"ascii-canvas","3.0.0","4.0.0","lalrpop 0.20.2 (^3.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"atoi","2.0.0","3.1.0","sqlx-postgres 0.9.0 (^2.0); sqlx-sqlite 0.9.0 (^2.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"atomic","0.5.3","0.6.1","allo-isolate 0.1.27 (^0.5)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"base64","0.22.1","0.23.1","hyper-util 0.1.20 (^0.22); merman-render 0.7.0 (^0.22.1); reqwest 0.13.4 (^0.22); sqlx-core 0.9.0 (^0.22.1); sqlx-postgres 0.9.0 (^0.22.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"bit-set","0.5.3","0.11.1","lalrpop 0.20.2 (^0.5.2)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"bit-set","0.8.0","0.11.1","fancy-regex 0.19.0 (^0.8)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"bit-vec","0.6.3","0.10.1","bit-set 0.5.3 (^0.6.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"bit-vec","0.8.0","0.10.1","bit-set 0.8.0 (^0.8.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"bitflags","1.3.2","2.13.1","portable-pty 0.9.0 (^1.3)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"block-buffer","0.10.4","0.12.1","digest 0.10.7 (^0.10)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"block-padding","0.3.3","0.4.2","dbus-secret-service 4.1.0 (^0.3); inout 0.1.4 (^0.3)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"build-target","0.4.0","0.8.0","flutter_rust_bridge 2.13.0 (^0.4.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"cbc","0.1.2","0.2.1","dbus-secret-service 4.1.0 (^0.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"cfg_aliases","0.1.1","0.2.2","nix 0.28.0 (^0.1.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"cipher","0.4.4","0.5.2","aes 0.8.4 (^0.4.2); cbc 0.1.2 (^0.4.2)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"core-foundation","0.9.4","0.10.1","security-framework 2.11.1 (^0.9.4)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"cpufeatures","0.2.17","0.3.1","aes 0.8.4 (^0.2); sha2 0.10.9 (^0.2)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"crypto-common","0.1.6","0.2.2","cipher 0.4.4 (^0.1.6); digest 0.10.7 (^0.1.3)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"cssparser","0.36.0","0.37.0","lol_html 2.9.0 (^0.36); selectors 0.37.0 (^0.36)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"cssparser-macros","0.6.1","0.7.0","cssparser 0.36.0 (^0.6.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"darling","0.20.11","0.24.1","derive_builder_core 0.20.2 (^0.20.10)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"darling_core","0.20.11","0.24.1","darling 0.20.11 (=0.20.11); darling_macro 0.20.11 (=0.20.11)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"darling_macro","0.20.11","0.24.1","darling 0.20.11 (=0.20.11)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"dashmap","5.5.3","6.2.1","oslog 0.2.0 (^5.1.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"digest","0.10.7","0.11.3","hmac 0.12.1 (^0.10.3 / ^0.10); md-5 0.10.6 (^0.10.7); sha2 0.10.9 (^0.10.7)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"downcast-rs","1.2.1","2.0.2","portable-pty 0.9.0 (^1.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"env_filter","0.1.4","2.0.0","android_logger 0.15.1 (^0.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"fax","0.2.7","0.3.0","tiff 0.11.3 (^0.2.6)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"fixedbitset","0.4.2","0.5.7","petgraph 0.6.5 (^0.4.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"foreign-types","0.3.2","0.5.0","openssl 0.10.81 (^0.3.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"foreign-types-shared","0.1.1","0.3.1","foreign-types 0.3.2 (^0.1)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"fsevent-sys","4.1.0","5.2.0","notify 8.2.0 (^4.0.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"generic-array","0.14.9","1.4.5","block-buffer 0.10.4 (^0.14); block-padding 0.3.3 (^0.14); crypto-common 0.1.6 (^0.14.4); inout 0.1.4 (^0.14); sqlx-mysql 0.9.0 (^0.14.4)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"getrandom","0.2.17","0.4.3","rand_core 0.6.4 (^0.2); redox_users 0.4.6 (^0.2); redox_users 0.5.2 (^0.2); ring 0.17.14 (^0.2.10); roughr-merman 0.12.3 (^0.2)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"getrandom","0.3.4","0.4.3","ahash 0.8.12 (^0.3.1); jsonschema 0.52.1 (^0.3.4); rand_core 0.9.5 (^0.3.0); referencing 0.52.1 (^0.4 / ^0.3.4)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"gimli","0.32.3","0.34.0","addr2line 0.25.1 (^0.32.0)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"glam","0.14.0","0.33.6","nalgebra 0.34.2 (^0.14 / ^0.15 / ^0.16 / ^0.17 / ^0.18 / ^0.19 / ^0.20 / ^0.21 / ^0.22 / ^0.23 / ^0.24 / ^0.25 / ^0.27 / ^0.28 / ^0.29 / ^0.30 / ^0.31 / ^0.32)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"glam","0.15.2","0.33.6","nalgebra 0.34.2 (^0.14 / ^0.15 / ^0.16 / ^0.17 / ^0.18 / ^0.19 / ^0.20 / ^0.21 / ^0.22 / ^0.23 / ^0.24 / ^0.25 / ^0.27 / ^0.28 / ^0.29 / ^0.30 / ^0.31 / ^0.32)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"glam","0.16.0","0.33.6","nalgebra 0.34.2 (^0.14 / ^0.15 / ^0.16 / ^0.17 / ^0.18 / ^0.19 / ^0.20 / ^0.21 / ^0.22 / ^0.23 / ^0.24 / ^0.25 / ^0.27 / ^0.28 / ^0.29 / ^0.30 / ^0.31 / ^0.32)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"glam","0.17.3","0.33.6","nalgebra 0.34.2 (^0.14 / ^0.15 / ^0.16 / ^0.17 / ^0.18 / ^0.19 / ^0.20 / ^0.21 / ^0.22 / ^0.23 / ^0.24 / ^0.25 / ^0.27 / ^0.28 / ^0.29 / ^0.30 / ^0.31 / ^0.32)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"glam","0.18.0","0.33.6","nalgebra 0.34.2 (^0.14 / ^0.15 / ^0.16 / ^0.17 / ^0.18 / ^0.19 / ^0.20 / ^0.21 / ^0.22 / ^0.23 / ^0.24 / ^0.25 / ^0.27 / ^0.28 / ^0.29 / ^0.30 / ^0.31 / ^0.32)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"glam","0.19.0","0.33.6","nalgebra 0.34.2 (^0.14 / ^0.15 / ^0.16 / ^0.17 / ^0.18 / ^0.19 / ^0.20 / ^0.21 / ^0.22 / ^0.23 / ^0.24 / ^0.25 / ^0.27 / ^0.28 / ^0.29 / ^0.30 / ^0.31 / ^0.32)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"glam","0.20.5","0.33.6","nalgebra 0.34.2 (^0.14 / ^0.15 / ^0.16 / ^0.17 / ^0.18 / ^0.19 / ^0.20 / ^0.21 / ^0.22 / ^0.23 / ^0.24 / ^0.25 / ^0.27 / ^0.28 / ^0.29 / ^0.30 / ^0.31 / ^0.32)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"glam","0.21.3","0.33.6","nalgebra 0.34.2 (^0.14 / ^0.15 / ^0.16 / ^0.17 / ^0.18 / ^0.19 / ^0.20 / ^0.21 / ^0.22 / ^0.23 / ^0.24 / ^0.25 / ^0.27 / ^0.28 / ^0.29 / ^0.30 / ^0.31 / ^0.32)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"glam","0.22.0","0.33.6","nalgebra 0.34.2 (^0.14 / ^0.15 / ^0.16 / ^0.17 / ^0.18 / ^0.19 / ^0.20 / ^0.21 / ^0.22 / ^0.23 / ^0.24 / ^0.25 / ^0.27 / ^0.28 / ^0.29 / ^0.30 / ^0.31 / ^0.32)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"glam","0.23.0","0.33.6","nalgebra 0.34.2 (^0.14 / ^0.15 / ^0.16 / ^0.17 / ^0.18 / ^0.19 / ^0.20 / ^0.21 / ^0.22 / ^0.23 / ^0.24 / ^0.25 / ^0.27 / ^0.28 / ^0.29 / ^0.30 / ^0.31 / ^0.32)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"glam","0.24.2","0.33.6","nalgebra 0.34.2 (^0.14 / ^0.15 / ^0.16 / ^0.17 / ^0.18 / ^0.19 / ^0.20 / ^0.21 / ^0.22 / ^0.23 / ^0.24 / ^0.25 / ^0.27 / ^0.28 / ^0.29 / ^0.30 / ^0.31 / ^0.32)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"glam","0.25.0","0.33.6","nalgebra 0.34.2 (^0.14 / ^0.15 / ^0.16 / ^0.17 / ^0.18 / ^0.19 / ^0.20 / ^0.21 / ^0.22 / ^0.23 / ^0.24 / ^0.25 / ^0.27 / ^0.28 / ^0.29 / ^0.30 / ^0.31 / ^0.32)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
"glam","0.27.0","0.33.6","nalgebra 0.34.2 (^0.14 / ^0.15 / ^0.16 / ^0.17 / ^0.18 / ^0.19 / ^0.20 / ^0.21 / ^0.22 / ^0.23 / ^0.24 / ^0.25 / ^0.27 / ^0.28 / ^0.29 / ^0.30 / ^0.31 / ^0.32)","Locked maximal compatible version within upstream requirements; no override or vendored changes"
